Time,LD_1/P1,LD_2/P1,LD_4/P1,LD_5/P1,LD_6/P1,LD_7/P1,LD_9/P1,LD_10/P1,LD_11/P1,LD_12/P1,LD_16/P1,LD_17/P1,LD_19/P1,LD_20/P1,LD_22/P1,LD_24/P1,LD_28/P1,LD_29/P1,LD_30/P1,LD_31/P1,LD_32/P1,LD_33/P1,LD_34/P1,LD_35/P1,LD_37/P1,LD_38/P1,LD_39/P1,LD_41/P1,LD_42/P1,LD_43/P1,LD_45/P1,LD_46/P1,LD_47/P1,LD_47/P2,LD_47/P3,LD_48/P1,LD_48/P2,LD_48/P3,LD_49/P1,LD_49/P2,LD_49/P3,LD_50/P1,LD_51/P1,LD_52/P1,LD_53/P1,LD_55/P1,LD_56/P1,LD_58/P1,LD_59/P1,LD_60/P1,LD_62/P1,LD_63/P1,LD_64/P1,LD_65/P1,LD_65/P2,LD_65/P3,LD_66/P1,LD_68/P1,LD_69/P1,LD_70/P1,LD_71/P1,LD_73/P1,LD_74/P1,LD_75/P1,LD_76/P1,LD_76/P2,LD_76/P3,LD_77/P1,LD_79/P1,LD_80/P1,LD_82/P1,LD_83/P1,LD_84/P1,LD_85/P1,LD_86/P1,LD_87/P1,LD_88/P1,LD_90/P1,LD_92/P1,LD_94/P1,LD_95/P1,LD_96/P1,LD_98/P1,LD_99/P1,LD_100/P1,LD_102/P1,LD_103/P1,LD_104/P1,LD_106/P1,LD_107/P1,LD_109/P1,LD_111/P1,LD_112/P1,LD_113/P1,LD_114/P1,LD_1/Q1,LD_2/Q1,LD_4/Q1,LD_5/Q1,LD_6/Q1,LD_7/Q1,LD_9/Q1,LD_10/Q1,LD_11/Q1,LD_12/Q1,LD_16/Q1,LD_17/Q1,LD_19/Q1,LD_20/Q1,LD_22/Q1,LD_24/Q1,LD_28/Q1,LD_29/Q1,LD_30/Q1,LD_31/Q1,LD_32/Q1,LD_33/Q1,LD_34/Q1,LD_35/Q1,LD_37/Q1,LD_38/Q1,LD_39/Q1,LD_41/Q1,LD_42/Q1,LD_43/Q1,LD_45/Q1,LD_46/Q1,LD_47/Q1,LD_47/Q2,LD_47/Q3,LD_48/Q1,LD_48/Q2,LD_48/Q3,LD_49/Q1,LD_49/Q2,LD_49/Q3,LD_50/Q1,LD_51/Q1,LD_52/Q1,LD_53/Q1,LD_55/Q1,LD_56/Q1,LD_58/Q1,LD_59/Q1,LD_60/Q1,LD_62/Q1,LD_63/Q1,LD_64/Q1,LD_65/Q1,LD_65/Q2,LD_65/Q3,LD_66/Q1,LD_68/Q1,LD_69/Q1,LD_70/Q1,LD_71/Q1,LD_73/Q1,LD_74/Q1,LD_75/Q1,LD_76/Q1,LD_76/Q2,LD_76/Q3,LD_77/Q1,LD_79/Q1,LD_80/Q1,LD_82/Q1,LD_83/Q1,LD_84/Q1,LD_85/Q1,LD_86/Q1,LD_87/Q1,LD_88/Q1,LD_90/Q1,LD_92/Q1,LD_94/Q1,LD_95/Q1,LD_96/Q1,LD_98/Q1,LD_99/Q1,LD_100/Q1,LD_102/Q1,LD_103/Q1,LD_104/Q1,LD_106/Q1,LD_107/Q1,LD_109/Q1,LD_111/Q1,LD_112/Q1,LD_113/Q1,LD_114/Q1
1402,9.7893,2.0455,9.7893,4.8946,4.0909,4.8946,9.7893,2.0455,9.7893,4.8946,4.0909,4.8946,9.7893,4.0909,9.7893,9.7893,4.0909,9.7893,9.7893,2.0455,4.8946,9.7893,4.0909,9.7893,9.7893,2.0455,4.8946,4.8946,2.0455,9.7893,4.8946,2.0455,8.5656,8.5656,8.5656,17.131,17.131,17.131,3.5796,7.1592,3.5796,9.7893,4.8946,4.0909,9.7893,4.8946,2.0455,4.8946,4.8946,2.0455,9.7893,9.7893,7.6705,8.5656,8.5656,17.131,18.355,2.0455,9.7893,4.8946,4.0909,9.7893,9.7893,4.0909,25.697,17.131,17.131,9.7893,4.0909,9.7893,9.7893,2.0455,4.8946,9.7893,2.0455,9.7893,9.7893,4.0909,9.7893,9.7893,2.0455,4.8946,9.7893,4.0909,9.7893,4.8946,4.0909,9.7893,9.7893,4.0909,9.7893,4.8946,2.0455,9.7893,4.8946,4.8946,1.0227,4.8946,2.4473,2.0455,2.4473,4.8946,1.0227,4.8946,2.4473,2.0455,2.4473,4.8946,2.0455,4.8946,4.8946,2.0455,4.8946,4.8946,1.0227,2.4473,4.8946,2.0455,4.8946,4.8946,1.0227,2.4473,2.4473,1.0227,4.8946,2.4473,1.0227,6.1183,6.1183,6.1183,12.237,12.237,12.237,2.5568,5.1137,2.0455,4.8946,2.4473,2.0455,4.8946,2.4473,1.0227,2.4473,2.4473,1.0227,4.8946,4.8946,3.5796,6.1183,6.1183,12.237,8.5656,1.0227,4.8946,2.4473,2.0455,4.8946,4.8946,2.0455,19.579,12.237,12.237,4.8946,2.0455,4.8946,4.8946,1.0227,2.4473,4.8946,1.0227,4.8946,4.8946,2.0455,4.8946,4.8946,1.0227,2.4473,4.8946,2.0455,4.8946,2.4473,2.0455,4.8946,4.8946,2.0455,4.8946,2.4473,1.0227,4.8946,2.4473
1403,9.7543,2.0384,9.7543,4.8772,4.0769,4.8772,9.7543,2.0384,9.7543,4.8772,4.0769,4.8772,9.7543,4.0769,9.7543,9.7543,4.0769,9.7543,9.7543,2.0384,4.8772,9.7543,4.0769,9.7543,9.7543,2.0384,4.8772,4.8772,2.0384,9.7543,4.8772,2.0384,8.535,8.535,8.535,17.07,17.07,17.07,3.5673,7.1345,3.5673,9.7543,4.8772,4.0769,9.7543,4.8772,2.0384,4.8772,4.8772,2.0384,9.7543,9.7543,7.6441,8.535,8.535,17.07,18.289,2.0384,9.7543,4.8772,4.0769,9.7543,9.7543,4.0769,25.605,17.07,17.07,9.7543,4.0769,9.7543,9.7543,2.0384,4.8772,9.7543,2.0384,9.7543,9.7543,4.0769,9.7543,9.7543,2.0384,4.8772,9.7543,4.0769,9.7543,4.8772,4.0769,9.7543,9.7543,4.0769,9.7543,4.8772,2.0384,9.7543,4.8772,4.8772,1.0192,4.8772,2.4386,2.0384,2.4386,4.8772,1.0192,4.8772,2.4386,2.0384,2.4386,4.8772,2.0384,4.8772,4.8772,2.0384,4.8772,4.8772,1.0192,2.4386,4.8772,2.0384,4.8772,4.8772,1.0192,2.4386,2.4386,1.0192,4.8772,2.4386,1.0192,6.0964,6.0964,6.0964,12.193,12.193,12.193,2.548,5.0961,2.0384,4.8772,2.4386,2.0384,4.8772,2.4386,1.0192,2.4386,2.4386,1.0192,4.8772,4.8772,3.5673,6.0964,6.0964,12.193,8.535,1.0192,4.8772,2.4386,2.0384,4.8772,4.8772,2.0384,19.509,12.193,12.193,4.8772,2.0384,4.8772,4.8772,1.0192,2.4386,4.8772,1.0192,4.8772,4.8772,2.0384,4.8772,4.8772,1.0192,2.4386,4.8772,2.0384,4.8772,2.4386,2.0384,4.8772,4.8772,2.0384,4.8772,2.4386,1.0192,4.8772,2.4386
1404,9.7194,2.0362,9.7194,4.8597,4.0723,4.8597,9.7194,2.0362,9.7194,4.8597,4.0723,4.8597,9.7194,4.0723,9.7194,9.7194,4.0723,9.7194,9.7194,2.0362,4.8597,9.7194,4.0723,9.7194,9.7194,2.0362,4.8597,4.8597,2.0362,9.7194,4.8597,2.0362,8.5044,8.5044,8.5044,17.009,17.009,17.009,3.5633,7.1265,3.5633,9.7194,4.8597,4.0723,9.7194,4.8597,2.0362,4.8597,4.8597,2.0362,9.7194,9.7194,7.6356,8.5044,8.5044,17.009,18.224,2.0362,9.7194,4.8597,4.0723,9.7194,9.7194,4.0723,25.513,17.009,17.009,9.7194,4.0723,9.7194,9.7194,2.0362,4.8597,9.7194,2.0362,9.7194,9.7194,4.0723,9.7194,9.7194,2.0362,4.8597,9.7194,4.0723,9.7194,4.8597,4.0723,9.7194,9.7194,4.0723,9.7194,4.8597,2.0362,9.7194,4.8597,4.8597,1.0181,4.8597,2.4298,2.0362,2.4298,4.8597,1.0181,4.8597,2.4298,2.0362,2.4298,4.8597,2.0362,4.8597,4.8597,2.0362,4.8597,4.8597,1.0181,2.4298,4.8597,2.0362,4.8597,4.8597,1.0181,2.4298,2.4298,1.0181,4.8597,2.4298,1.0181,6.0746,6.0746,6.0746,12.149,12.149,12.149,2.5452,5.0904,2.0362,4.8597,2.4298,2.0362,4.8597,2.4298,1.0181,2.4298,2.4298,1.0181,4.8597,4.8597,3.5633,6.0746,6.0746,12.149,8.5044,1.0181,4.8597,2.4298,2.0362,4.8597,4.8597,2.0362,19.439,12.149,12.149,4.8597,2.0362,4.8597,4.8597,1.0181,2.4298,4.8597,1.0181,4.8597,4.8597,2.0362,4.8597,4.8597,1.0181,2.4298,4.8597,2.0362,4.8597,2.4298,2.0362,4.8597,4.8597,2.0362,4.8597,2.4298,1.0181,4.8597,2.4298
1405,9.6844,2.0551,9.6844,4.8422,4.1102,4.8422,9.6844,2.0551,9.6844,4.8422,4.1102,4.8422,9.6844,4.1102,9.6844,9.6844,4.1102,9.6844,9.6844,2.0551,4.8422,9.6844,4.1102,9.6844,9.6844,2.0551,4.8422,4.8422,2.0551,9.6844,4.8422,2.0551,8.4739,8.4739,8.4739,16.948,16.948,16.948,3.5964,7.1929,3.5964,9.6844,4.8422,4.1102,9.6844,4.8422,2.0551,4.8422,4.8422,2.0551,9.6844,9.6844,7.7067,8.4739,8.4739,16.948,18.158,2.0551,9.6844,4.8422,4.1102,9.6844,9.6844,4.1102,25.422,16.948,16.948,9.6844,4.1102,9.6844,9.6844,2.0551,4.8422,9.6844,2.0551,9.6844,9.6844,4.1102,9.6844,9.6844,2.0551,4.8422,9.6844,4.1102,9.6844,4.8422,4.1102,9.6844,9.6844,4.1102,9.6844,4.8422,2.0551,9.6844,4.8422,4.8422,1.0276,4.8422,2.4211,2.0551,2.4211,4.8422,1.0276,4.8422,2.4211,2.0551,2.4211,4.8422,2.0551,4.8422,4.8422,2.0551,4.8422,4.8422,1.0276,2.4211,4.8422,2.0551,4.8422,4.8422,1.0276,2.4211,2.4211,1.0276,4.8422,2.4211,1.0276,6.0528,6.0528,6.0528,12.106,12.106,12.106,2.5689,5.1378,2.0551,4.8422,2.4211,2.0551,4.8422,2.4211,1.0276,2.4211,2.4211,1.0276,4.8422,4.8422,3.5964,6.0528,6.0528,12.106,8.4739,1.0276,4.8422,2.4211,2.0551,4.8422,4.8422,2.0551,19.369,12.106,12.106,4.8422,2.0551,4.8422,4.8422,1.0276,2.4211,4.8422,1.0276,4.8422,4.8422,2.0551,4.8422,4.8422,1.0276,2.4211,4.8422,2.0551,4.8422,2.4211,2.0551,4.8422,4.8422,2.0551,4.8422,2.4211,1.0276,4.8422,2.4211
1406,9.6495,2.0941,9.6495,4.8247,4.1881,4.8247,9.6495,2.0941,9.6495,4.8247,4.1881,4.8247,9.6495,4.1881,9.6495,9.6495,4.1881,9.6495,9.6495,2.0941,4.8247,9.6495,4.1881,9.6495,9.6495,2.0941,4.8247,4.8247,2.0941,9.6495,4.8247,2.0941,8.4433,8.4433,8.4433,16.887,16.887,16.887,3.6646,7.3292,3.6646,9.6495,4.8247,4.1881,9.6495,4.8247,2.0941,4.8247,4.8247,2.0941,9.6495,9.6495,7.8527,8.4433,8.4433,16.887,18.093,2.0941,9.6495,4.8247,4.1881,9.6495,9.6495,4.1881,25.33,16.887,16.887,9.6495,4.1881,9.6495,9.6495,2.0941,4.8247,9.6495,2.0941,9.6495,9.6495,4.1881,9.6495,9.6495,2.0941,4.8247,9.6495,4.1881,9.6495,4.8247,4.1881,9.6495,9.6495,4.1881,9.6495,4.8247,2.0941,9.6495,4.8247,4.8247,1.047,4.8247,2.4124,2.0941,2.4124,4.8247,1.047,4.8247,2.4124,2.0941,2.4124,4.8247,2.0941,4.8247,4.8247,2.0941,4.8247,4.8247,1.047,2.4124,4.8247,2.0941,4.8247,4.8247,1.047,2.4124,2.4124,1.047,4.8247,2.4124,1.047,6.0309,6.0309,6.0309,12.062,12.062,12.062,2.6176,5.2351,2.0941,4.8247,2.4124,2.0941,4.8247,2.4124,1.047,2.4124,2.4124,1.047,4.8247,4.8247,3.6646,6.0309,6.0309,12.062,8.4433,1.047,4.8247,2.4124,2.0941,4.8247,4.8247,2.0941,19.299,12.062,12.062,4.8247,2.0941,4.8247,4.8247,1.047,2.4124,4.8247,1.047,4.8247,4.8247,2.0941,4.8247,4.8247,1.047,2.4124,4.8247,2.0941,4.8247,2.4124,2.0941,4.8247,4.8247,2.0941,4.8247,2.4124,1.047,4.8247,2.4124
1407,9.6145,2.0976,9.6145,4.8073,4.1952,4.8073,9.6145,2.0976,9.6145,4.8073,4.1952,4.8073,9.6145,4.1952,9.6145,9.6145,4.1952,9.6145,9.6145,2.0976,4.8073,9.6145,4.1952,9.6145,9.6145,2.0976,4.8073,4.8073,2.0976,9.6145,4.8073,2.0976,8.4127,8.4127,8.4127,16.825,16.825,16.825,3.6708,7.3416,3.6708,9.6145,4.8073,4.1952,9.6145,4.8073,2.0976,4.8073,4.8073,2.0976,9.6145,9.6145,7.866,8.4127,8.4127,16.825,18.027,2.0976,9.6145,4.8073,4.1952,9.6145,9.6145,4.1952,25.238,16.825,16.825,9.6145,4.1952,9.6145,9.6145,2.0976,4.8073,9.6145,2.0976,9.6145,9.6145,4.1952,9.6145,9.6145,2.0976,4.8073,9.6145,4.1952,9.6145,4.8073,4.1952,9.6145,9.6145,4.1952,9.6145,4.8073,2.0976,9.6145,4.8073,4.8073,1.0488,4.8073,2.4036,2.0976,2.4036,4.8073,1.0488,4.8073,2.4036,2.0976,2.4036,4.8073,2.0976,4.8073,4.8073,2.0976,4.8073,4.8073,1.0488,2.4036,4.8073,2.0976,4.8073,4.8073,1.0488,2.4036,2.4036,1.0488,4.8073,2.4036,1.0488,6.0091,6.0091,6.0091,12.018,12.018,12.018,2.622,5.244,2.0976,4.8073,2.4036,2.0976,4.8073,2.4036,1.0488,2.4036,2.4036,1.0488,4.8073,4.8073,3.6708,6.0091,6.0091,12.018,8.4127,1.0488,4.8073,2.4036,2.0976,4.8073,4.8073,2.0976,19.229,12.018,12.018,4.8073,2.0976,4.8073,4.8073,1.0488,2.4036,4.8073,1.0488,4.8073,4.8073,2.0976,4.8073,4.8073,1.0488,2.4036,4.8073,2.0976,4.8073,2.4036,2.0976,4.8073,4.8073,2.0976,4.8073,2.4036,1.0488,4.8073,2.4036
1408,9.6356,2.0913,9.6356,4.8178,4.1825,4.8178,9.6356,2.0913,9.6356,4.8178,4.1825,4.8178,9.6356,4.1825,9.6356,9.6356,4.1825,9.6356,9.6356,2.0913,4.8178,9.6356,4.1825,9.6356,9.6356,2.0913,4.8178,4.8178,2.0913,9.6356,4.8178,2.0913,8.4312,8.4312,8.4312,16.862,16.862,16.862,3.6597,7.3194,3.6597,9.6356,4.8178,4.1825,9.6356,4.8178,2.0913,4.8178,4.8178,2.0913,9.6356,9.6356,7.8422,8.4312,8.4312,16.862,18.067,2.0913,9.6356,4.8178,4.1825,9.6356,9.6356,4.1825,25.294,16.862,16.862,9.6356,4.1825,9.6356,9.6356,2.0913,4.8178,9.6356,2.0913,9.6356,9.6356,4.1825,9.6356,9.6356,2.0913,4.8178,9.6356,4.1825,9.6356,4.8178,4.1825,9.6356,9.6356,4.1825,9.6356,4.8178,2.0913,9.6356,4.8178,4.8178,1.0456,4.8178,2.4089,2.0913,2.4089,4.8178,1.0456,4.8178,2.4089,2.0913,2.4089,4.8178,2.0913,4.8178,4.8178,2.0913,4.8178,4.8178,1.0456,2.4089,4.8178,2.0913,4.8178,4.8178,1.0456,2.4089,2.4089,1.0456,4.8178,2.4089,1.0456,6.0223,6.0223,6.0223,12.045,12.045,12.045,2.6141,5.2281,2.0913,4.8178,2.4089,2.0913,4.8178,2.4089,1.0456,2.4089,2.4089,1.0456,4.8178,4.8178,3.6597,6.0223,6.0223,12.045,8.4312,1.0456,4.8178,2.4089,2.0913,4.8178,4.8178,2.0913,19.271,12.045,12.045,4.8178,2.0913,4.8178,4.8178,1.0456,2.4089,4.8178,1.0456,4.8178,4.8178,2.0913,4.8178,4.8178,1.0456,2.4089,4.8178,2.0913,4.8178,2.4089,2.0913,4.8178,4.8178,2.0913,4.8178,2.4089,1.0456,4.8178,2.4089
1409,9.6942,2.0982,9.6942,4.8471,4.1963,4.8471,9.6942,2.0982,9.6942,4.8471,4.1963,4.8471,9.6942,4.1963,9.6942,9.6942,4.1963,9.6942,9.6942,2.0982,4.8471,9.6942,4.1963,9.6942,9.6942,2.0982,4.8471,4.8471,2.0982,9.6942,4.8471,2.0982,8.4824,8.4824,8.4824,16.965,16.965,16.965,3.6718,7.3435,3.6718,9.6942,4.8471,4.1963,9.6942,4.8471,2.0982,4.8471,4.8471,2.0982,9.6942,9.6942,7.8681,8.4824,8.4824,16.965,18.177,2.0982,9.6942,4.8471,4.1963,9.6942,9.6942,4.1963,25.447,16.965,16.965,9.6942,4.1963,9.6942,9.6942,2.0982,4.8471,9.6942,2.0982,9.6942,9.6942,4.1963,9.6942,9.6942,2.0982,4.8471,9.6942,4.1963,9.6942,4.8471,4.1963,9.6942,9.6942,4.1963,9.6942,4.8471,2.0982,9.6942,4.8471,4.8471,1.0491,4.8471,2.4235,2.0982,2.4235,4.8471,1.0491,4.8471,2.4235,2.0982,2.4235,4.8471,2.0982,4.8471,4.8471,2.0982,4.8471,4.8471,1.0491,2.4235,4.8471,2.0982,4.8471,4.8471,1.0491,2.4235,2.4235,1.0491,4.8471,2.4235,1.0491,6.0589,6.0589,6.0589,12.118,12.118,12.118,2.6227,5.2454,2.0982,4.8471,2.4235,2.0982,4.8471,2.4235,1.0491,2.4235,2.4235,1.0491,4.8471,4.8471,3.6718,6.0589,6.0589,12.118,8.4824,1.0491,4.8471,2.4235,2.0982,4.8471,4.8471,2.0982,19.388,12.118,12.118,4.8471,2.0982,4.8471,4.8471,1.0491,2.4235,4.8471,1.0491,4.8471,4.8471,2.0982,4.8471,4.8471,1.0491,2.4235,4.8471,2.0982,4.8471,2.4235,2.0982,4.8471,4.8471,2.0982,4.8471,2.4235,1.0491,4.8471,2.4235
1410,9.7527,2.1243,9.7527,4.8764,4.2487,4.8764,9.7527,2.1243,9.7527,4.8764,4.2487,4.8764,9.7527,4.2487,9.7527,9.7527,4.2487,9.7527,9.7527,2.1243,4.8764,9.7527,4.2487,9.7527,9.7527,2.1243,4.8764,4.8764,2.1243,9.7527,4.8764,2.1243,8.5336,8.5336,8.5336,17.067,17.067,17.067,3.7176,7.4352,3.7176,9.7527,4.8764,4.2487,9.7527,4.8764,2.1243,4.8764,4.8764,2.1243,9.7527,9.7527,7.9663,8.5336,8.5336,17.067,18.286,2.1243,9.7527,4.8764,4.2487,9.7527,9.7527,4.2487,25.601,17.067,17.067,9.7527,4.2487,9.7527,9.7527,2.1243,4.8764,9.7527,2.1243,9.7527,9.7527,4.2487,9.7527,9.7527,2.1243,4.8764,9.7527,4.2487,9.7527,4.8764,4.2487,9.7527,9.7527,4.2487,9.7527,4.8764,2.1243,9.7527,4.8764,4.8764,1.0622,4.8764,2.4382,2.1243,2.4382,4.8764,1.0622,4.8764,2.4382,2.1243,2.4382,4.8764,2.1243,4.8764,4.8764,2.1243,4.8764,4.8764,1.0622,2.4382,4.8764,2.1243,4.8764,4.8764,1.0622,2.4382,2.4382,1.0622,4.8764,2.4382,1.0622,6.0954,6.0954,6.0954,12.191,12.191,12.191,2.6554,5.3108,2.1243,4.8764,2.4382,2.1243,4.8764,2.4382,1.0622,2.4382,2.4382,1.0622,4.8764,4.8764,3.7176,6.0954,6.0954,12.191,8.5336,1.0622,4.8764,2.4382,2.1243,4.8764,4.8764,2.1243,19.505,12.191,12.191,4.8764,2.1243,4.8764,4.8764,1.0622,2.4382,4.8764,1.0622,4.8764,4.8764,2.1243,4.8764,4.8764,1.0622,2.4382,4.8764,2.1243,4.8764,2.4382,2.1243,4.8764,4.8764,2.1243,4.8764,2.4382,1.0622,4.8764,2.4382
1411,9.7593,2.0265,9.7593,4.8796,4.053,4.8796,9.7593,2.0265,9.7593,4.8796,4.053,4.8796,9.7593,4.053,9.7593,9.7593,4.053,9.7593,9.7593,2.0265,4.8796,9.7593,4.053,9.7593,9.7593,2.0265,4.8796,4.8796,2.0265,9.7593,4.8796,2.0265,8.5394,8.5394,8.5394,17.079,17.079,17.079,3.5464,7.0927,3.5464,9.7593,4.8796,4.053,9.7593,4.8796,2.0265,4.8796,4.8796,2.0265,9.7593,9.7593,7.5994,8.5394,8.5394,17.079,18.299,2.0265,9.7593,4.8796,4.053,9.7593,9.7593,4.053,25.618,17.079,17.079,9.7593,4.053,9.7593,9.7593,2.0265,4.8796,9.7593,2.0265,9.7593,9.7593,4.053,9.7593,9.7593,2.0265,4.8796,9.7593,4.053,9.7593,4.8796,4.053,9.7593,9.7593,4.053,9.7593,4.8796,2.0265,9.7593,4.8796,4.8796,1.0132,4.8796,2.4398,2.0265,2.4398,4.8796,1.0132,4.8796,2.4398,2.0265,2.4398,4.8796,2.0265,4.8796,4.8796,2.0265,4.8796,4.8796,1.0132,2.4398,4.8796,2.0265,4.8796,4.8796,1.0132,2.4398,2.4398,1.0132,4.8796,2.4398,1.0132,6.0995,6.0995,6.0995,12.199,12.199,12.199,2.5331,5.0662,2.0265,4.8796,2.4398,2.0265,4.8796,2.4398,1.0132,2.4398,2.4398,1.0132,4.8796,4.8796,3.5464,6.0995,6.0995,12.199,8.5394,1.0132,4.8796,2.4398,2.0265,4.8796,4.8796,2.0265,19.519,12.199,12.199,4.8796,2.0265,4.8796,4.8796,1.0132,2.4398,4.8796,1.0132,4.8796,4.8796,2.0265,4.8796,4.8796,1.0132,2.4398,4.8796,2.0265,4.8796,2.4398,2.0265,4.8796,4.8796,2.0265,4.8796,2.4398,1.0132,4.8796,2.4398
1412,9.7233,2.0013,9.7233,4.8616,4.0025,4.8616,9.7233,2.0013,9.7233,4.8616,4.0025,4.8616,9.7233,4.0025,9.7233,9.7233,4.0025,9.7233,9.7233,2.0013,4.8616,9.7233,4.0025,9.7233,9.7233,2.0013,4.8616,4.8616,2.0013,9.7233,4.8616,2.0013,8.5079,8.5079,8.5079,17.016,17.016,17.016,3.5022,7.0044,3.5022,9.7233,4.8616,4.0025,9.7233,4.8616,2.0013,4.8616,4.8616,2.0013,9.7233,9.7233,7.5047,8.5079,8.5079,17.016,18.231,2.0013,9.7233,4.8616,4.0025,9.7233,9.7233,4.0025,25.524,17.016,17.016,9.7233,4.0025,9.7233,9.7233,2.0013,4.8616,9.7233,2.0013,9.7233,9.7233,4.0025,9.7233,9.7233,2.0013,4.8616,9.7233,4.0025,9.7233,4.8616,4.0025,9.7233,9.7233,4.0025,9.7233,4.8616,2.0013,9.7233,4.8616,4.8616,1.0006,4.8616,2.4308,2.0013,2.4308,4.8616,1.0006,4.8616,2.4308,2.0013,2.4308,4.8616,2.0013,4.8616,4.8616,2.0013,4.8616,4.8616,1.0006,2.4308,4.8616,2.0013,4.8616,4.8616,1.0006,2.4308,2.4308,1.0006,4.8616,2.4308,1.0006,6.0771,6.0771,6.0771,12.154,12.154,12.154,2.5016,5.0031,2.0013,4.8616,2.4308,2.0013,4.8616,2.4308,1.0006,2.4308,2.4308,1.0006,4.8616,4.8616,3.5022,6.0771,6.0771,12.154,8.5079,1.0006,4.8616,2.4308,2.0013,4.8616,4.8616,2.0013,19.447,12.154,12.154,4.8616,2.0013,4.8616,4.8616,1.0006,2.4308,4.8616,1.0006,4.8616,4.8616,2.0013,4.8616,4.8616,1.0006,2.4308,4.8616,2.0013,4.8616,2.4308,2.0013,4.8616,4.8616,2.0013,4.8616,2.4308,1.0006,4.8616,2.4308
1413,9.6873,2.0133,9.6873,4.8437,4.0266,4.8437,9.6873,2.0133,9.6873,4.8437,4.0266,4.8437,9.6873,4.0266,9.6873,9.6873,4.0266,9.6873,9.6873,2.0133,4.8437,9.6873,4.0266,9.6873,9.6873,2.0133,4.8437,4.8437,2.0133,9.6873,4.8437,2.0133,8.4764,8.4764,8.4764,16.953,16.953,16.953,3.5232,7.0465,3.5232,9.6873,4.8437,4.0266,9.6873,4.8437,2.0133,4.8437,4.8437,2.0133,9.6873,9.6873,7.5498,8.4764,8.4764,16.953,18.164,2.0133,9.6873,4.8437,4.0266,9.6873,9.6873,4.0266,25.429,16.953,16.953,9.6873,4.0266,9.6873,9.6873,2.0133,4.8437,9.6873,2.0133,9.6873,9.6873,4.0266,9.6873,9.6873,2.0133,4.8437,9.6873,4.0266,9.6873,4.8437,4.0266,9.6873,9.6873,4.0266,9.6873,4.8437,2.0133,9.6873,4.8437,4.8437,1.0066,4.8437,2.4218,2.0133,2.4218,4.8437,1.0066,4.8437,2.4218,2.0133,2.4218,4.8437,2.0133,4.8437,4.8437,2.0133,4.8437,4.8437,1.0066,2.4218,4.8437,2.0133,4.8437,4.8437,1.0066,2.4218,2.4218,1.0066,4.8437,2.4218,1.0066,6.0546,6.0546,6.0546,12.109,12.109,12.109,2.5166,5.0332,2.0133,4.8437,2.4218,2.0133,4.8437,2.4218,1.0066,2.4218,2.4218,1.0066,4.8437,4.8437,3.5232,6.0546,6.0546,12.109,8.4764,1.0066,4.8437,2.4218,2.0133,4.8437,4.8437,2.0133,19.375,12.109,12.109,4.8437,2.0133,4.8437,4.8437,1.0066,2.4218,4.8437,1.0066,4.8437,4.8437,2.0133,4.8437,4.8437,1.0066,2.4218,4.8437,2.0133,4.8437,2.4218,2.0133,4.8437,4.8437,2.0133,4.8437,2.4218,1.0066,4.8437,2.4218
1414,9.6514,1.9989,9.6514,4.8257,3.9978,4.8257,9.6514,1.9989,9.6514,4.8257,3.9978,4.8257,9.6514,3.9978,9.6514,9.6514,3.9978,9.6514,9.6514,1.9989,4.8257,9.6514,3.9978,9.6514,9.6514,1.9989,4.8257,4.8257,1.9989,9.6514,4.8257,1.9989,8.4449,8.4449,8.4449,16.89,16.89,16.89,3.4981,6.9962,3.4981,9.6514,4.8257,3.9978,9.6514,4.8257,1.9989,4.8257,4.8257,1.9989,9.6514,9.6514,7.4959,8.4449,8.4449,16.89,18.096,1.9989,9.6514,4.8257,3.9978,9.6514,9.6514,3.9978,25.335,16.89,16.89,9.6514,3.9978,9.6514,9.6514,1.9989,4.8257,9.6514,1.9989,9.6514,9.6514,3.9978,9.6514,9.6514,1.9989,4.8257,9.6514,3.9978,9.6514,4.8257,3.9978,9.6514,9.6514,3.9978,9.6514,4.8257,1.9989,9.6514,4.8257,4.8257,0.99945,4.8257,2.4128,1.9989,2.4128,4.8257,0.99945,4.8257,2.4128,1.9989,2.4128,4.8257,1.9989,4.8257,4.8257,1.9989,4.8257,4.8257,0.99945,2.4128,4.8257,1.9989,4.8257,4.8257,0.99945,2.4128,2.4128,0.99945,4.8257,2.4128,0.99945,6.0321,6.0321,6.0321,12.064,12.064,12.064,2.4986,4.9973,1.9989,4.8257,2.4128,1.9989,4.8257,2.4128,0.99945,2.4128,2.4128,0.99945,4.8257,4.8257,3.4981,6.0321,6.0321,12.064,8.4449,0.99945,4.8257,2.4128,1.9989,4.8257,4.8257,1.9989,19.303,12.064,12.064,4.8257,1.9989,4.8257,4.8257,0.99945,2.4128,4.8257,0.99945,4.8257,4.8257,1.9989,4.8257,4.8257,0.99945,2.4128,4.8257,1.9989,4.8257,2.4128,1.9989,4.8257,4.8257,1.9989,4.8257,2.4128,0.99945,4.8257,2.4128
